,traffic
0,1115.573820609375
1,1115.573820625
2,1115.573820609375
3,1115.573820609375
4,1115.573820609375
5,1115.573820625
6,1115.573820609375
7,1115.573820609375
8,1115.573820609375
9,1115.573820625
10,1115.573820609375
11,1115.573820609375
12,1115.573820609375
13,1115.573820625
14,1115.573820609375
15,1115.573820609375
16,1115.573820609375
17,1115.573820625
18,1115.573820609375
19,1115.573820609375
20,1115.573820609375
21,1115.573820625
22,1115.573820609375
23,1115.573820609375
24,1115.573820609375
25,1115.573820625
26,1115.573820609375
27,1115.573820609375
28,1115.573820609375
29,1115.573820625
30,1115.573820609375
31,1115.573820609375
32,1115.573820609375
33,1115.573820625
34,1115.573820609375
35,1115.573820609375
36,1115.573820609375
37,1115.573820625
38,1115.573820609375
39,1115.573820609375
40,1115.573820609375
41,1115.573820625
42,1115.573820609375
43,1115.573820609375
44,1115.573820609375
45,1115.573820625
46,1115.573820609375
47,1115.573820609375
48,1115.573820609375
49,1115.573820625
50,1115.573820609375
51,1115.573820609375
52,1115.573820609375
53,1115.573820625
54,1115.573820609375
55,1115.573820609375
56,1115.573820609375
57,1115.573820625
58,1115.573820609375
59,1115.573820609375
60,1115.573820609375
61,1115.573820625
62,1115.573820609375
63,1115.573820609375
64,1115.573820609375
65,1115.573820625
66,1115.573820609375
67,1115.573820609375
68,1115.573820609375
69,1115.573820625
70,1115.573820609375
71,1115.573820609375
72,1115.573820609375
73,1115.573820625
74,1115.573820609375
75,1115.573820609375
76,1115.573820625
77,1115.573820609375
78,1115.573820609375
79,1115.573820609375
80,1115.573820625
81,1115.573820609375
82,1115.573820609375
83,1115.573820609375
84,1115.573820625
85,1115.573820609375
86,1115.573820609375
87,1115.573820609375
88,1115.573820625
89,1115.573820609375
90,1115.573820609375
91,1115.573820609375
92,1115.573820625
93,1115.573820609375
94,1115.573820609375
95,1115.573820609375
96,1115.573820625
97,1115.573820609375
98,1115.573820609375
99,1115.573820609375
100,1115.573820625
101,1115.573820609375
102,1115.573820609375
103,1115.573820609375
104,1115.573820625
105,1115.573820609375
106,1115.573820609375
107,1115.573820609375
108,1115.573820625
109,1115.573820609375
110,1115.573820609375
111,1115.573820609375
112,1115.573820625
113,1115.573820609375
114,1115.573820609375
115,1115.573820609375
116,1115.573820625
117,1115.573820609375
118,1115.573820609375
119,1115.573820609375
120,1115.573820625
121,1115.573820609375
122,1115.573820609375
123,1115.573820609375
124,1115.573820625
125,1115.573820609375
126,1115.573820609375
127,1115.573820609375
128,1115.573820625
129,1115.573820609375
130,1115.573820609375
131,1115.573820609375
132,1115.573820625
133,1115.573820609375
134,1115.573820609375
135,1115.573820609375
136,1115.573820625
137,1115.573820609375
138,1115.573820609375
139,1115.573820609375
140,1115.573820625
141,1115.573820609375
142,1115.573820609375
143,1115.573820609375
144,1115.573820625
145,1115.573820609375
146,1115.573820609375
147,1115.573820609375
148,1115.573820625
149,1115.573820609375
150,1115.573820609375
151,1115.573820625
152,1115.573820609375
153,1115.573820609375
154,1115.573820609375
155,1115.573820625
156,1115.573820609375
157,1115.573820609375
158,1115.573820609375
159,1115.573820625
160,1115.573820609375
161,1115.573820609375
162,1115.573820609375
163,1115.573820625
164,1115.573820609375
165,1115.573820609375
166,1115.573820609375
167,1115.573820625
168,1115.573820609375
169,1115.573820609375
170,1115.573820609375
171,1115.573820625
172,1115.573820609375
173,1115.573820609375
174,1115.573820609375
175,1115.573820625
176,1115.573820609375
177,1115.573820609375
178,1115.573820609375
179,1115.573820625
180,1115.573820609375
181,1115.573820609375
182,1115.573820609375
183,1115.573820625
184,1115.573820609375
185,1115.573820609375
186,1115.573820609375
187,1115.573820625
188,1115.573820609375
189,1115.573820609375
190,1115.573820609375
191,1115.573820625
192,1115.573820609375
