,traffic
0,5948.479909
1,5948.479909
2,5948.479909
3,5948.479909
4,5948.479909
5,5948.479909
6,5948.479909
7,5948.479909
8,5948.479909
9,5948.479909
10,5948.479909
11,5948.479909
12,5948.479909
13,5948.479909
14,5948.479909
15,5948.4799088125
16,5948.4799088125
17,5948.47990875
18,5948.4799088125
19,5948.4799088125
20,6156.625081625
21,6156.6250815625
22,6156.625081625
23,6156.6250815625
24,6156.625081625
25,6130.987686375
26,6130.9876864375
27,6130.987686375
28,6130.9876864375
29,6130.987686375
30,6127.658856
31,6127.658856
32,6127.658856
33,6127.658856
34,6127.658856
35,6133.9463008125
36,6133.9463008125
37,6133.94630075
38,6133.9463008125
39,6133.9463008125
40,6152.8698911875
41,6152.8698911875
42,6152.86989125
43,6152.8698911875
44,6152.8698911875
45,6200.509654375
46,6200.5096544375
47,6200.509654375
48,6200.5096544375
49,6200.509654375
50,6091.1377871875
51,6091.1377871875
52,6091.13778725
53,6091.1377871875
54,6091.1377871875
55,6167.548038375
56,6167.5480384375
57,6167.548038375
58,6167.5480384375
59,6167.548038375
60,6076.6162208125
61,6076.6162208125
62,6076.61622075
63,6076.6162208125
64,6076.6162208125
65,6138.5871728125
66,6138.5871728125
67,6138.58717275
68,6138.5871728125
69,6138.5871728125
70,6158.721430375
71,6158.7214304375
72,6158.721430375
73,6158.7214304375
74,6158.721430375
75,6688.110606375
76,6688.1106064375
77,6688.110606375
78,6688.1106064375
79,6688.110606375
80,6734.110992
81,6734.110992
82,6734.110992
83,6734.110992
84,6734.110992
85,6746.505705625
86,6746.5057055625
87,6746.505705625
88,6746.5057055625
89,6746.505705625
90,6765.177566375
91,6765.1775664375
92,6765.177566375
93,6765.1775664375
94,6765.177566375
95,6721.9491728125
96,6721.9491728125
97,6721.94917275
98,6721.9491728125
99,6721.9491728125
100,6761.435654375
101,6761.4356544375
102,6761.435654375
103,6761.4356544375
104,6761.435654375
105,6738.738984
106,6738.738984
107,6738.738984
108,6738.738984
109,6738.738984
110,6772.761838375
111,6772.7618384375
112,6772.761838375
113,6772.7618384375
114,6772.761838375
115,6719.8378911875
116,6719.8378911875
117,6719.83789125
118,6719.8378911875
119,6719.8378911875
120,6796.089542375
121,6796.0895424375
122,6796.089542375
123,6796.0895424375
124,6796.089542375
125,6680.3575551875
126,6680.3575551875
127,6680.35755525
128,6680.3575551875
129,6680.3575551875
130,6773.3967071875
131,6773.3967071875
132,6773.39670725
133,6773.3967071875
134,6773.3967071875
135,5194.587
136,5194.587
137,5194.587
138,5194.587
139,5194.587
140,5150.3010528125
141,5150.3010528125
142,5150.30105275
143,5150.3010528125
144,5150.3010528125
145,5094.85324
146,5094.85324
147,5094.85324
148,5094.85324
149,5094.85324
150,5147.791472
151,5147.791472
152,5147.791472
153,5147.791472
154,5147.791472
155,5089.819113625
156,5089.8191135625
157,5089.819113625
158,5089.8191135625
159,5089.819113625
160,5109.793222375
161,5109.7932224375
162,5109.793222375
163,5109.7932224375
164,5109.793222375
165,5118.805576
166,5118.805576
167,5118.805576
168,5118.805576
169,5118.805576
170,5128.475072
171,5128.475072
172,5128.475072
173,5128.475072
174,5128.475072
175,5102.2065008125
176,5102.2065008125
177,5102.20650075
178,5102.2065008125
179,5102.2065008125
180,5103.2764048125
181,5103.2764048125
182,5103.27640475
183,5103.2764048125
184,5103.2764048125
185,5114.432137625
186,5114.4321375625
187,5114.432137625
188,5114.4321375625
189,5114.432137625
190,5129.560208
191,5129.560208
192,5129.560208
193,5129.560208
194,5129.560208
195,8908.5808288125
196,8908.5808288125
197,8908.58082875
198,8908.5808288125
199,8908.5808288125
200,9203.446534375
201,9203.4465344375
202,9203.446534375
203,9203.4465344375
204,9203.446534375
205,9232.206321625
206,9232.2063215625
207,9232.206321625
208,9232.2063215625
209,9232.206321625
210,9123.0029088125
211,9123.0029088125
212,9123.00290875
213,9123.0029088125
214,9123.0029088125
215,9241.018585625
216,9241.0185855625
217,9241.018585625
218,9241.0185855625
219,9241.018585625
220,9157.659894375
221,9157.6598944375
222,9157.659894375
223,9157.6598944375
224,9157.659894375
225,9240.437937625
226,9240.4379375625
227,9240.437937625
228,9240.4379375625
229,9240.437937625
230,9146.1169631875
231,9146.1169631875
232,9146.11696325
233,9146.1169631875
234,9146.1169631875
235,9159.156816
236,9159.156816
237,9159.156816
238,9159.156816
239,9159.156816
240,9161.390368
241,9161.390368
