,traffic
0,608.87192
1,608.87192
2,608.87192
3,608.87192
4,608.87192
5,675.452704
6,675.452704
7,675.452704
8,675.452704
9,675.452704
10,428.4575711875
11,428.4575711875
12,428.45757125
13,428.4575711875
14,428.4575711875
15,429.9284288125
16,429.9284288125
17,429.92842875
18,429.9284288125
19,429.9284288125
20,431.187670375
21,431.1876704375
22,431.187670375
23,431.1876704375
24,431.187670375
25,426.778054375
26,426.7780544375
27,426.778054375
28,426.7780544375
29,426.778054375
30,430.977321625
31,430.9773215625
32,430.977321625
33,430.9773215625
34,430.977321625
35,426.778438375
36,426.7784384375
37,426.778438375
38,426.7784384375
39,426.778438375
40,430.3437408125
41,430.3437408125
42,430.34374075
43,430.3437408125
44,430.3437408125
45,427.619872
46,427.619872
47,427.619872
48,427.619872
49,427.619872
50,429.300022375
51,429.3000224375
52,429.300022375
53,429.3000224375
54,429.300022375
55,430.136982375
56,430.1369824375
57,430.136982375
58,430.1369824375
59,430.136982375
60,573.171337625
61,573.1713375625
62,573.171337625
63,573.1713375625
64,573.171337625
65,638.280969625
66,638.2809695625
67,638.280969625
68,638.2809695625
69,638.280969625
70,378.053376
71,378.053376
72,378.053376
73,378.053376
74,378.053376
75,378.4741791875
76,378.4741791875
77,378.47417925
78,378.4741791875
79,378.4741791875
80,378.684633625
81,378.6846335625
82,378.684633625
83,378.6846335625
84,378.684633625
85,380.153696
86,380.153696
87,380.153696
88,380.153696
89,380.153696
90,377.0044831875
91,377.0044831875
92,377.00448325
93,377.0044831875
94,377.0044831875
95,381.623353625
96,381.6233535625
97,381.623353625
98,381.6233535625
99,381.623353625
100,375.1126111875
101,375.1126111875
102,375.11261125
103,375.1126111875
104,375.1126111875
105,379.313568
106,379.313568
107,379.313568
108,379.313568
109,379.313568
110,377.0039551875
111,377.0039551875
112,377.00395525
113,377.0039551875
114,377.0039551875
115,382.4633088125
116,382.4633088125
117,382.46330875
118,382.4633088125
119,382.4633088125
120,549.857430375
121,549.8574304375
122,549.857430375
123,549.8574304375
124,549.857430375
125,707.585728
126,707.585728
127,707.585728
128,707.585728
129,707.585728
130,465.842950375
131,465.8429504375
132,465.842950375
133,465.8429504375
134,465.842950375
135,470.464182375
136,470.4641824375
137,470.464182375
138,470.4641824375
139,470.464182375
140,470.044857625
141,470.0448575625
142,470.044857625
143,470.0448575625
144,470.044857625
145,469.835670375
146,469.8356704375
147,469.835670375
148,469.8356704375
149,469.835670375
150,470.254784
151,470.254784
152,470.254784
153,470.254784
154,470.254784
155,470.4634111875
156,470.4634111875
157,470.46341125
158,470.4634111875
159,470.4634111875
160,475.080662375
161,475.0806624375
162,475.080662375
163,475.0806624375
164,475.080662375
165,466.895328
166,466.895328
167,466.895328
168,466.895328
169,466.895328
170,469.202934375
171,469.2029344375
172,469.202934375
173,469.2029344375
174,469.202934375
175,470.255206375
176,470.2552064375
177,470.255206375
178,470.2552064375
179,470.255206375
180,676.2892351875
181,676.2892351875
182,676.28923525
183,676.2892351875
184,676.2892351875
185,852.925942375
186,852.9259424375
187,852.925942375
188,852.9259424375
189,852.925942375
190,563.925782375
191,563.9257824375
192,563.925782375
193,563.9257824375
194,563.925782375
195,566.447222375
196,566.4472224375
197,566.447222375
198,566.4472224375
199,566.447222375
200,559.512681625
201,559.5126815625
202,559.512681625
203,559.5126815625
204,559.512681625
205,565.6021311875
206,565.6021311875
207,565.60213125
208,565.6021311875
209,565.6021311875
210,566.0204
211,566.0204
212,566.0204
213,566.0204
214,566.0204
215,556.3624128125
216,556.3624128125
217,556.36241275
218,556.3624128125
219,556.3624128125
220,561.6062048125
221,561.6062048125
222,561.60620475
223,561.6062048125
224,561.6062048125
225,574.2161888125
226,574.2161888125
227,574.21618875
228,574.2161888125
229,574.2161888125
230,553.2118271875
231,553.2118271875
232,553.21182725
233,553.2118271875
234,553.2118271875
235,561.6146911875
236,561.6146911875
237,561.61469125
238,561.6146911875
239,561.6146911875
240,745.1771231875
241,745.1771231875
242,745.17712325
243,745.1771231875
244,745.1771231875
245,883.7992991875
246,883.7992991875
247,883.79929925
248,883.7992991875
249,883.7992991875
250,517.720854375
251,517.7208544375
252,517.720854375
253,517.7208544375
254,517.720854375
255,525.071446375
256,525.0714464375
257,525.071446375
258,525.0714464375
259,525.071446375
260,517.72096
261,517.72096
262,517.72096
263,517.72096
264,517.72096
265,520.87144
266,520.87144
267,520.87144
268,520.87144
269,520.87144
270,521.9224448125
271,521.9224448125
272,521.92244475
273,521.9224448125
274,521.9224448125
275,520.8716511875
276,520.8716511875
277,520.87165125
278,520.8716511875
279,520.8716511875
280,525.0675391875
281,525.0675391875
282,525.06753925
283,525.0675391875
284,525.0675391875
285,519.820192
286,519.820192
287,519.820192
288,519.820192
289,519.820192
290,522.130998375
291,522.1309984375
292,522.130998375
293,522.1309984375
294,522.130998375
295,520.871862375
296,520.8718624375
297,520.871862375
298,520.8718624375
299,520.871862375
300,726.911488
301,726.911488
302,726.911488
303,726.911488
304,726.911488
305,949.536569625
306,949.5365695625
307,949.536569625
308,949.5365695625
309,949.536569625
310,608.2386271875
311,608.2386271875
312,608.23862725
313,608.2386271875
314,608.2386271875
315,609.919622375
316,609.9196224375
317,609.919622375
