,traffic
0,758.413196796875
1,758.4131968046875
2,758.413196796875
3,758.4131968046875
4,758.413196796875
5,756.9402943984375
6,756.9402943984375
7,756.94029440625
8,756.9402943984375
9,756.9402943984375
10,755.2625056015625
11,755.2625056015625
12,755.26250559375
13,755.2625056015625
14,755.2625056015625
15,757.782572796875
16,757.7825728046874
17,757.782572796875
18,757.7825728046874
19,757.782572796875
20,757.3601856015625
21,757.3601856015625
22,757.36018559375
23,757.3601856015625
24,757.3601856015625
25,757.150048
26,757.150048
27,757.150048
28,757.150048
29,757.150048
30,756.730579203125
31,756.7305791953125
32,756.730579203125
33,756.7305791953125
34,756.730579203125
35,823.100688
36,823.100688
37,823.100688
38,823.100688
39,823.100688
40,941.7577216015625
41,941.7577216015625
42,941.75772159375
43,941.7577216015625
44,941.7577216015625
45,940.0825343984375
46,940.0825343984375
47,940.08253440625
48,940.0825343984375
49,940.0825343984375
50,940.496051203125
51,940.4960511953125
52,940.496051203125
53,940.4960511953125
54,940.496051203125
55,938.192140796875
56,938.1921408046875
57,938.192140796875
58,938.1921408046875
59,938.192140796875
60,942.3924256015625
61,942.3924256015625
62,942.39242559375
63,942.3924256015625
64,942.3924256015625
65,940.081584
66,940.081584
67,940.081584
68,940.081584
69,940.081584
70,938.4003776015625
71,938.4003776015625
72,938.40037759375
73,938.4003776015625
74,938.4003776015625
75,940.7112576015625
76,940.7112576015625
77,940.71125759375
78,940.7112576015625
79,940.7112576015625
80,938.6077696015625
81,938.6077696015625
82,938.60776959375
83,938.6077696015625
84,938.6077696015625
85,943.4419903984375
86,943.4419903984375
87,943.44199040625
88,943.4419903984375
89,943.4419903984375
90,940.291683203125
91,940.2916831953125
92,940.291683203125
93,940.2916831953125
94,940.291683203125
95,1004.346900796875
96,1004.3469008046875
97,1004.346900796875
98,1004.3469008046875
99,1004.346900796875
100,1127.418828796875
101,1127.4188288046876
102,1127.418828796875
103,1127.4188288046876
104,1127.418828796875
105,1125.5330816015626
106,1125.5330816015626
107,1125.53308159375
108,1125.5330816015626
109,1125.5330816015626
110,1125.3140736015625
111,1125.3140736015625
112,1125.31407359375
113,1125.3140736015625
114,1125.3140736015625
115,1121.750288
116,1121.750288
117,1121.750288
118,1121.750288
119,1121.750288
120,1126.794291203125
121,1126.7942911953126
122,1126.794291203125
123,1126.7942911953126
124,1126.794291203125
125,1127.6337183984374
126,1127.6337183984374
127,1127.63371840625
128,1127.6337183984374
129,1127.6337183984374
130,1123.4327616015626
131,1123.4327616015626
132,1123.43276159375
133,1123.4327616015626
134,1123.4327616015626
135,1127.419779203125
136,1127.4197791953125
137,1127.419779203125
138,1127.4197791953125
139,1127.419779203125
140,1123.4336063984374
141,1123.4336063984374
142,1123.43360640625
143,1123.4336063984374
144,1123.4336063984374
145,1127.209219203125
146,1127.2092191953125
147,1127.209219203125
148,1127.2092191953125
149,1127.209219203125
150,1125.322588796875
151,1125.3225888046875
152,1125.322588796875
153,1125.3225888046875
154,1125.322588796875
155,1079.3283536015624
156,1079.3283536015624
157,1079.32835359375
158,1079.3283536015624
159,1079.3283536015624
160,1043.202332796875
161,1043.2023328046876
162,1043.202332796875
163,1043.2023328046876
164,1043.202332796875
165,1039.4186943984375
166,1039.4186943984375
167,1039.41869440625
168,1039.4186943984375
169,1039.4186943984375
170,1045.296
171,1045.296
172,1045.296
173,1045.296
174,1045.296
175,1045.0918816015626
176,1045.0918816015626
177,1045.09188159375
178,1045.0918816015626
179,1045.0918816015626
180,1043.413488
181,1043.413488
182,1043.413488
183,1043.413488
184,1043.413488
185,1039.4241856015626
186,1039.4241856015626
187,1039.42418559375
188,1039.4241856015626
189,1039.4241856015626
190,1042.998003203125
191,1042.9980031953125
192,1042.998003203125
193,1042.9980031953125
194,1042.998003203125
195,1047.8254656015624
196,1047.8254656015624
197,1047.82546559375
198,1047.8254656015624
199,1047.8254656015624
200,1043.2040223984375
201,1043.2040223984375
202,1043.20402240625
203,1043.2040223984375
204,1043.2040223984375
205,1043.4135263984374
206,1043.4135263984374
207,1043.41352640625
208,1043.4135263984374
209,1043.4135263984374
210,1043.410003203125
211,1043.4100031953126
212,1043.410003203125
213,1043.4100031953126
214,1043.410003203125
215,1092.7706896015625
216,1092.7706896015625
217,1092.77068959375
218,1092.7706896015625
219,1092.7706896015625
220,1218.15392
221,1218.15392
222,1218.15392
223,1218.15392
224,1218.15392
225,1215.425932796875
226,1215.4259328046876
227,1215.425932796875
228,1215.4259328046876
229,1215.425932796875
230,1217.514848
231,1217.514848
232,1217.514848
233,1217.514848
234,1217.514848
235,1220.886659203125
236,1220.8866591953124
237,1220.886659203125
238,1220.8866591953124
239,1220.886659203125
240,1221.094012796875
241,1221.0940128046875
242,1221.094012796875
243,1221.0940128046875
244,1221.094012796875
245,1214.7906623984375
246,1214.7906623984375
247,1214.79066240625
248,1214.7906623984375
249,1214.7906623984375
250,1217.945472
251,1217.945472
252,1217.945472
253,1217.945472
254,1217.945472
255,1220.458252796875
256,1220.4582528046874
257,1220.458252796875
258,1220.4582528046874
259,1220.458252796875
260,1213.741664
261,1213.741664
262,1213.741664
263,1213.741664
264,1213.741664
265,1218.1569823984375
266,1218.1569823984375
267,1218.15698240625
268,1218.1569823984375
269,1218.1569823984375
270,1217.527308796875
271,1217.5273088046874
272,1217.527308796875
273,1217.5273088046874
274,1217.527308796875
275,1258.4872336015626
276,1258.4872336015626
277,1258.48723359375
278,1258.4872336015626
279,1258.4872336015626
280,1366.2226783984374
281,1366.2226783984374
282,1366.22267840625
283,1366.2226783984374
284,1366.2226783984374
285,1365.3804383984375
286,1365.3804383984375
287,1365.38043840625
288,1365.3804383984375
289,1365.3804383984375
290,1362.0083103984375
291,1362.0083103984375
292,1362.00831040625
293,1362.0083103984375
294,1362.0083103984375
295,1364.964915203125
296,1364.9649151953124
297,1364.964915203125
298,1364.9649151953124
299,1364.964915203125
300,1371.0497183984376
301,1371.0497183984376
302,1371.04971840625
303,1371.0497183984376
304,1371.0497183984376
305,1365.586563203125
306,1365.5865631953125
307,1365.586563203125
308,1365.5865631953125
309,1365.586563203125
310,1365.1709343984376
311,1365.1709343984376
312,1365.17093440625
313,1365.1709343984376
314,1365.1709343984376
315,1362.02056
316,1362.02056
317,1362.02056
318,1362.02056
319,1362.02056
320,1365.171251203125
321,1365.1712511953126
322,1365.171251203125
323,1365.1712511953126
324,1365.171251203125
325,1362.4361503984376
326,1362.4361503984376
327,1362.43615040625
328,1362.4361503984376
329,1362.4361503984376
330,1365.803459203125
331,1365.8034591953126
332,1365.803459203125
333,1365.8034591953126
334,1365.803459203125
335,1222.5631023984374
336,1222.5631023984374
337,1222.56310240625
338,1222.5631023984374
339,1222.5631023984374
340,1012.331008
341,1012.331008
342,1012.331008
343,1012.331008
344,1012.331008
345,1008.132268796875
346,1008.1322688046876
347,1008.132268796875
348,1008.1322688046876
349,1008.132268796875
350,1008.5402943984375
351,1008.5402943984375
352,1008.54029440625
353,1008.5402943984375
354,1008.5402943984375
355,1012.120131203125
356,1012.1201311953125
357,1012.120131203125
358,1012.1201311953125
359,1012.120131203125
360,1009.598268796875
361,1009.5982688046875
362,1009.598268796875
363,1009.5982688046875
364,1009.598268796875
365,1007.499532796875
366,1007.4995328046875
367,1007.499532796875
368,1007.4995328046875
369,1007.499532796875
370,1010.436707203125
371,1010.4367071953125
372,1010.436707203125
373,1010.4367071953125
374,1010.436707203125
375,1011.069443203125
376,1011.0694431953125
